County,State,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area
Todd County,SD,9882,9612,2.8,13,40.4,7.3,51.4,10.8,0.3,86.2,0.3,0,2.4,3.7,10.4,497,0.7,77.6,12.4,3132,16.9,46.5,40200,0,2680,3.62,86.5,22.3,17.3,31934,10575,44.6,17,0,0,395,3911,6.9,1388.56
Oliver County,ND,1850,1846,0.2,6.5,22.5,18.7,48.9,95.1,0.4,3.1,0.3,0,1,2.5,93,148,0.1,87.5,16.4,922,5.2,86.3,98900,8,753,2.44,95.5,3.9,23.7,71250,32253,7.4,0,0,0,99,5844,2.6,722.51
Camden County,GA,52027,50513,3,7.6,25.2,11.3,48.6,75,19.5,0.7,1.7,0.2,2.9,6.2,70,6625,2.1,90.4,19.5,21389,15.7,63.1,154500,126,18386,2.69,80.3,4.8,21.9,51990,22701,15.5,717,0,0,6483,13688,82.4,613.03
Spotsylvania County,VA,129188,122397,5.3,6.1,25.6,12.2,50.8,77.3,16.1,0.4,2.7,0.2,3.3,8.7,70.1,13141,6.4,89.1,28.2,46242,7.3,77.5,249100,375,41709,2.97,87.3,9.5,38,78345,31360,7.6,1698,4963,4303,21485,18064,304.9,401.5
Hall County,NE,61492,58607,4.9,7.6,26.7,14.2,49.7,92.4,2.7,1.6,1.3,0.5,1.5,25.9,69.4,4151,13.3,81.9,17.1,24174,19.1,65.3,113200,216,22168,2.64,81.9,19.6,14.9,48712,23380,13.7,968,0,7079,10877,19639,107.3,546.29
La Plata County,CO,53989,51334,5.2,5.1,19.4,14.2,49.2,89.2,0.6,6.8,0.8,0.1,2.5,12.6,79.2,3963,3.5,94.2,41.4,26475,17.9,66.5,339400,278,20947,2.39,79.6,9.7,20.5,58080,30151,11.4,2062,0,0,7904,15914,30.3,1692.08
Clay County,MO,233682,221939,5.3,6.5,25,12.8,51,88.2,6,0.6,2.3,0.3,2.6,6.6,82.4,17663,4.8,91.8,30.6,94966,20,71,153700,222,86934,2.56,84.2,7.5,23,60936,29406,9,8221,109035,45172,33669,15427,558.6,397.3
Ohio County,KY,23977,23842,0.6,6.4,24.5,16.9,50.1,97.4,1,0.3,0.3,0.1,0.9,3.3,94.5,1717,1.8,77.3,8,10215,6.1,80.8,78800,44,8715,2.71,89.6,2.2,23.9,40830,19005,19.7,152,4854,1495,1425,6066,40.6,587.27
Roberts County,TX,928,929,-0.1,4.2,24.7,18.6,50.8,96.6,0.5,0.3,0.2,0,2.4,10.9,86.4,35,1.4,92.6,33.2,439,0,90.1,104600,0,374,2.75,87.1,3.3,15.6,67321,36172,3,0,0,0,0,0,1,924.06
Coles County,IL,53320,53873,-1,4.9,18,15,51.7,93,4.1,0.3,1,0,1.6,2.3,91.1,3785,1.9,90,24.2,23434,24.9,62,90200,16,21046,2.33,75.8,4.1,17,37040,21970,22,756,0,3828,6350,12150,106,508.29
Ellis County,TX,159317,149610,6.5,6.4,27,11.9,50.6,87,9.7,0.8,0.7,0.1,1.7,25.1,63.4,9986,7.8,83.6,20.7,57041,11.3,74.6,137500,1096,51016,2.95,85,18.9,29,61952,25662,11.9,1265,40806,2791,13231,9265,159.9,935.49
Henry County,KY,15572,15416,1,5.8,23.9,16,50.6,94.6,2.9,0.4,0.3,0.1,1.8,3.2,91.7,969,1.5,79.5,12.8,6669,6.8,72,123300,27,6008,2.55,87.8,3.3,29.9,46016,21923,17.1,0,0,465,1533,9689,53.9,286.28
Dyer County,TN,37935,38335,-1,6.5,24.1,16.5,51.7,82.9,14.6,0.3,0.6,0,1.6,3.1,80.3,3083,1.8,83.6,18.1,16785,13,63.5,99500,56,15100,2.49,81.5,2.9,18.6,38953,21208,17.8,428,16469,2524,5140,13643,74.8,512.33
Washington County,MN,249283,238136,4.7,6.1,25.2,12.8,50.5,87.4,4.3,0.5,5.5,0.1,2.1,3.8,84.1,15920,6.2,95.9,40.5,95667,14.4,81.3,241900,752,88947,2.68,89.3,9.3,25.2,81540,36706,5.7,3408,57518,17435,26907,11886,619.7,384.28
Poquoson County,VA,12048,12150,-0.9,3.6,21.8,18.3,50.5,94.4,1.2,0.4,2.4,0,1.6,2.3,92.4,1363,4.1,92.7,37.2,4749,7.5,81.8,302400,24,4591,2.62,90.7,6.4,22.8,81892,38444,5.6,91,0,0,547,4628,793.2,15.32
York County,PA,440755,434972,1.3,5.7,22.4,15.9,50.5,89.7,6.5,0.3,1.5,0.1,2,6.5,84.8,34528,3.4,88.1,22,180653,14.1,75.1,174200,816,167592,2.55,87.7,6.6,26.6,58745,28132,10.1,5279,119573,38228,49426,11724,481.1,904.18
