County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
Eastport,Maine,0,Republican,0,3,Democrat,60,0,Republican,0,0,Republican,0,0,Republican,0,2,Democrat,40,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Carter,Missouri,0,Republican,0,142,Democrat,50,0,Republican,0,0,Republican,0,623,Republican,53.5,138,Democrat,48.6,0,Republican,0,59,Republican,5.1,50,Republican,4.3,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,404,Republican,34.7,0,,0,0,,0
Lyon,Nevada,208,Republican,7.2,88,Democrat,52.4,0,Republican,0,0,Republican,0,1399,Republican,48.2,80,Democrat,47.6,0,Republican,0,67,Republican,2.3,506,Republican,17.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,711,Republican,24.5,0,,0,0,,0
Monroe,Mississippi,0,Republican,0,311,Democrat,13.8,0,Republican,0,0,Republican,0,2602,Republican,50,1913,Democrat,84.9,0,Republican,0,347,Republican,6.7,303,Republican,5.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1772,Republican,34.1,0,,0,0,,0
Yolo,California,0,Republican,0,11532,Democrat,47.6,0,Republican,0,0,Republican,0,5110,Republican,72.3,12567,Democrat,51.8,0,Republican,0,1089,Republican,15.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,557,Republican,7.9,0,,0,0,,0
Canadian,Oklahoma,1376,Republican,6.1,4922,Democrat,56.3,0,Republican,0,0,Republican,0,6201,Republican,27.7,3357,Democrat,38.4,0,Republican,0,609,Republican,2.7,5817,Republican,26,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,8105,Republican,36.2,0,,0,0,,0
Plainfield,Connecticut,0,Republican,0,574,Democrat,55.9,0,Republican,0,0,Republican,0,440,Republican,62.6,412,Democrat,40.2,0,Republican,0,141,Republican,20.1,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,107,Republican,15.2,0,,0,0,,0
Phillips,Arkansas,28,Republican,4.4,656,Democrat,18.3,0,Republican,0,0,Republican,0,363,Republican,56.6,2696,Democrat,75.4,0,Republican,0,11,Republican,1.7,113,Republican,17.6,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,110,Republican,17.2,0,,0,0,,0
Chippewa,Michigan,0,Republican,0,1789,Democrat,58,0,Republican,0,0,Republican,0,1959,Republican,40.2,1230,Democrat,39.9,0,Republican,0,904,Republican,18.5,427,Republican,8.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,1320,Republican,27.1,0,,0,0,,0
Bell,Kentucky,0,Republican,0,578,Democrat,45.6,0,Republican,0,0,Republican,0,692,Republican,54.2,567,Democrat,44.7,0,Republican,0,125,Republican,9.8,151,Republican,11.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,287,Republican,22.5,0,,0,0,,0
Alger,Michigan,0,Republican,0,622,Democrat,60,0,Republican,0,0,Republican,0,517,Republican,40.7,384,Democrat,37.1,0,Republican,0,281,Republican,22.1,99,Republican,7.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,318,Republican,25,0,,0,0,,0
Macwahoc Plt.,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
West Stockbridge,Massachusetts,7,Republican,7.4,250,Democrat,53.6,0,Republican,0,0,Republican,0,41,Republican,43.6,214,Democrat,45.9,0,Republican,0,14,Republican,14.9,24,Republican,25.5,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,5,Republican,5.3,1,,0.2,0,,0
Etowah,Alabama,2098,Republican,11.2,1289,Democrat,22.6,0,Republican,0,0,Republican,0,8657,Republican,46.1,4262,Democrat,74.6,0,Republican,0,616,Republican,3.3,3155,Republican,16.8,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,3891,Republican,20.7,0,,0,0,,0
Colusa,California,0,Republican,0,584,Democrat,45.8,0,Republican,0,0,Republican,0,1342,Republican,83.4,653,Democrat,51.2,0,Republican,0,108,Republican,6.7,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,109,Republican,6.8,0,,0,0,,0
